postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
SL6 6,SEPD,"HV,LV",15,1030,125.56
PH16 5,SHEPD,"HV,PSI",45,988,125.06
OX7 5,SEPD,PSI,28,2491,124.85
BH20 4,SEPD,"HV,LV,PSI",363,1862412,123.83
BH8 0,SEPD,"HV,LV,PSI",76,2381,123.57
KW17 2,SHEPD,"HV,PSI",36,900,122.77
BA14 0,SEPD,LV,12,230,122.6
RG7 2,SEPD,"HV,LV",24,2486,121.33
AB53 8,SHEPD,"HV,LV,PSI",40,1180,119.5
HP14 3,SEPD,"HV,LV,PSI",39,4905,119.28
GU14 8,SEPD,"HV,LV,PSI",37,11112,117.07
PO37 7,SEPD,LV,11,280,115.84
PO18 9,SEPD,"HV,LV",56,1534,114.52
KW14 8,SHEPD,"HV,LV,PSI",20,778,112.54
HP12 3,SEPD,LV,15,430,111.98
OX14 5,SEPD,LV,58,2043,111.6
DT2 9,SEPD,"HV,PSI",18,10646,111.48
BA21 5,SEPD,"HV,LV",29,659,110.29
RG30 3,SEPD,"HV,LV",38,576,110.11
DT3 4,SEPD,HV,54,895,109.99
SP5 3,SEPD,"HV,LV,PSI",22,432,109.88
SN14 7,SEPD,"LV,PSI",31,1049,109.4
IV15 9,SHEPD,"HV,LV",7,157,108.11
W7 1,SEPD,LV,4,116,107.52
BA12 0,SEPD,PSI,2,336,105.78
UB5 4,SEPD,LV,18,792,104.58
BA22 8,SEPD,"HV,LV,PSI",104,22145,104.45
BA9 9,SEPD,PSI,21,4454,102.85
DD7 7,SHEPD,HV,5,75,100.95
AB51 0,SHEPD,PSI,12,554,99.0
DT3 5,SEPD,LV,14,618,98.58
GU8 4,SEPD,"LV,PSI",15,352,98.05
SL4 4,SEPD,"HV,LV,PSI",28,1294,97.27
SN4 0,SEPD,"HV,PSI",102,11991,96.99
AB52 6,SHEPD,PSI,15,734,95.79
DT10 2,SEPD,"LV,PSI",8,244,95.48
DD9 7,SHEPD,"HV,LV,PSI",101,44761,95.26
DT9 4,SEPD,"HV,LV,PSI",54,2045,95.13
SO14 1,SEPD,LV,7,42,94.76
PO7 6,SEPD,"HV,LV",31,995,93.3
RG28 7,SEPD,"HV,PSI",31,1623,92.84
HS9 5,SHEPD,"LV,PSI",25,1031,92.29
GL7 4,SEPD,"HV,LV,PSI",18,1657,91.75
DT11 9,SEPD,"HV,PSI",25,12988,91.44
BA13 4,SEPD,"HV,PSI",78,38239,90.46
GU8 6,SEPD,"HV,PSI",24,804,89.29
RG8 0,SEPD,"HV,LV,PSI",37,868,88.96
OX4 1,SEPD,"LV,PSI",22,908,88.25
SN11 8,SEPD,LV,61,1515,88.18
DT11 7,SEPD,"HV,LV,PSI",20,2020,86.37
BH21 6,SEPD,HV,8,608,86.08
SN8 3,SEPD,"HV,LV,PSI",30,326,85.96
PH15 2,SHEPD,"HV,PSI",30,1825,85.91
OX28 6,SEPD,"LV,PSI",23,683,85.54
SO18 2,SEPD,"HV,LV",29,17852,85.47
FK19 8,SHEPD,PSI,19,5354,85.13
AB43 6,SHEPD,"HV,PSI",38,4998,84.19
RG20 8,SEPD,"HV,PSI",26,1887,83.99
GU16 6,SEPD,"LV,PSI",37,1632,83.35
BH21 1,SEPD,"HV,LV",181,116870,82.85
SO50 8,SEPD,LV,9,225,82.53
SN3 1,SEPD,"HV,LV",30,574,81.9
SN14 8,SEPD,"HV,LV,PSI",20,401,81.34
SN5 5,SEPD,"HV,LV",91,102708,80.52
SO50 5,SEPD,"HV,LV",139,156891,78.48
IV2 6,SHEPD,"HV,PSI",15,298,78.25
PA75 6,SHEPD,"HV,PSI",9,153,78.2
PH26 3,SHEPD,PSI,16,749,77.85
HP15 7,SEPD,LV,9,123,77.43
KA27 8,SHEPD,"HV,PSI",25,1282,75.84
OX7 4,SEPD,"HV,PSI",35,2802,75.75
RG6 1,SEPD,"HV,LV",21,9950,75.7
PO9 1,SEPD,LV,24,414,75.27
OX13 6,SEPD,LV,9,173,75.12
PO20 8,SEPD,LV,12,125,74.97
AB43 7,SHEPD,"HV,PSI",24,2959,74.9
IV20 1,SHEPD,HV,21,2563,74.75
OX18 2,SEPD,LV,25,771,74.74
HS3 3,SHEPD,"HV,LV,PSI",21,1722,74.7
TW18 4,SEPD,LV,5,70,74.5
TW8 8,SEPD,"LV,PSI",14,250,72.96
TW8 0,SEPD,LV,12,216,72.96
DD2 3,SHEPD,"LV,PSI",23,2510,72.54
GU10 2,SEPD,"HV,PSI",19,667,71.61
TW13 6,SEPD,"LV,PSI",8,148,71.19
PH2 8,SHEPD,"LV,PSI",11,119,70.87
SN5 4,SEPD,PSI,16,1172,70.86
RG12 0,SEPD,LV,12,354,70.65
RG9 5,SEPD,"HV,PSI",39,5798,69.83
AB55 6,SHEPD,PSI,17,755,69.28
AB37 9,SHEPD,PSI,17,378,69.22
IV7 8,SHEPD,"LV,PSI",20,832,69.12
SN6 6,SEPD,"HV,PSI",68,46319,68.94
PO19 7,SEPD,LV,6,192,68.34
GU34 4,SEPD,"HV,PSI",34,4926,68.11
SP7 0,SEPD,"HV,LV,PSI",11,394,68.07
DD9 6,SHEPD,"HV,LV,PSI",61,27354,68.06
AB56 5,SHEPD,PSI,10,208,67.28
PO36 9,SEPD,LV,4,46,67.26
SO24 9,SEPD,PSI,13,775,67.09
BH6 3,SEPD,LV,8,288,65.44
RG27 9,SEPD,PSI,13,590,65.24
PH18 5,SHEPD,PSI,20,754,64.17
RH14 9,SEPD,"HV,LV,PSI",30,722,63.44
DT2 0,SEPD,"LV,PSI",8,255,63.16
BH19 1,SEPD,LV,15,337,63.07
SW18 1,SEPD,"LV,PSI",22,3214,62.29
GU32 1,SEPD,"HV,PSI",11,1241,62.22
FK17 8,SHEPD,PSI,11,308,61.05
SN6 7,SEPD,"HV,LV,PSI",17,1070,60.79
BH23 8,SEPD,PSI,20,549,60.62
OX20 1,SEPD,"HV,LV,PSI",36,578,60.54
PO8 9,SEPD,"LV,PSI",11,130,60.54
SP11 6,SEPD,"HV,LV,PSI",16,618,59.98
OX1 5,SEPD,"HV,LV,PSI",52,34405,59.74
SN4 7,SEPD,"LV,PSI",17,865,59.51
SN4 8,SEPD,LV,4,128,59.48
GU47 0,SEPD,LV,13,317,59.04
SO16 5,SEPD,LV,3,69,58.41
GU34 5,SEPD,"LV,PSI",22,631,57.35
SO43 7,SEPD,"LV,PSI",12,234,57.27
GU31 5,SEPD,"HV,PSI",22,2282,56.92
BH24 1,SEPD,"HV,LV",14,712,56.86
PO14 4,SEPD,LV,5,120,55.45
